_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10532,1373576770096,-2.602020264,2.002807617,9.132339478,2
10533,1373576770112,-2.642486572,2.050415039,9.132339478,2
10534,1373576770128,-2.644866943,2.086120605,9.266830444,2
10535,1373576770144,-2.611541748,2.164672852,9.191848755,2
10536,1373576770159,-2.554412842,2.338439941,9.275161743,2
10537,1373576770182,-2.500854492,2.437225342,9.282302856,2
10538,1373576770198,-2.379455566,2.478881836,9.339431763,2
10539,1373576770214,-2.341369629,2.505065918,9.459640503,2
10540,1373576770230,-2.289001465,2.581237793,9.485824585,2
10541,1373576770269,-2.328277588,2.689544678,9.492965698,2
10542,1373576770296,-2.294952393,2.696685791,9.542953491,2
10543,1373576770332,-2.275909424,2.731201172,9.606033325,2
10544,1373576770361,-2.267578125,2.824035645,9.636978149,2
10545,1373576770391,-2.387786865,2.897827148,9.651260376,2
10546,1373576770411,-2.535369873,2.85736084,9.607223511,2
10547,1373576770428,-2.665100098,2.806182861,9.597702026,2
10548,1373576770445,-2.711517334,2.718109131,9.632217407,2
10549,1373576770463,-2.738891602,2.608612061,9.472732544,2
10550,1373576770480,-2.731750488,2.446746826,9.153762817,2
10551,1373576770502,-2.8543396,2.371765137,8.750289917,2
10552,1373576770523,-2.975738525,2.303924561,8.472976685,2
10553,1373576770549,-2.957885742,2.169433594,8.338485718,2
10554,1373576770570,-2.955505371,2.070648193,8.256362915,2
10555,1373576770585,-2.884094238,2.139678955,8.450363159,2
10556,1373576770601,-2.930511475,2.171813965,8.562240601,2
10557,1373576770616,-2.892425537,2.239654541,8.6693573,2
10558,1373576770632,-2.875762939,2.449127197,8.653884888,2
10559,1373576770647,-2.819824219,2.483642578,8.539627075,2
10560,1373576770663,-2.687713623,2.568145752,8.502731323,2
10561,1373576770679,-2.698425293,2.690734863,8.467025757,2
10562,1373576770695,-2.598449707,2.751434326,8.143295288,2
10563,1373576770714,-2.519897461,2.775238037,7.942153931,2
10564,1373576770732,-2.535369873,2.751434326,8.015945435,2
10565,1373576770751,-2.510375977,2.81451416,8.113540649,2
10566,1373576770767,-2.529418945,3.016845703,8.562240601,2
10567,1373576770783,-2.630584717,3.231079102,9.10496521,2
10568,1373576770802,-2.755554199,3.371520996,9.623886108,2
10569,1373576770820,-2.83291626,3.409606934,10.01545715,2
10570,1373576770839,-2.906707764,3.438171387,10.34275818,2
10571,1373576771033,-2.917419434,3.395324707,10.64506531,2
10572,1373576771129,-2.853149414,3.371520996,10.82359314,2
10573,1373576771203,-2.534179688,3.951141357,10.83311462,2
10574,1373576771263,-2.267578125,3.529815674,10.73313904,2
10575,1373576771333,-2.717468262,3.350097656,10.59745789,2
10576,1373576771403,-3.242340088,3.442932129,10.13328552,2
10577,1373576771477,-3.408966064,3.451263428,9.46321106,2
10578,1373576771530,-3.328033447,3.367950439,8.997848511,2
10579,1373576771600,-2.91027832,3.306060791,8.520584106,2
10580,1373576771652,-2.679382324,3.32510376,8.151626587,2
10581,1373576771704,-2.446105957,3.390563965,7.945724487,2
10582,1373576771766,-1.204742432,3.465545654,8.424179077,2
10583,1373576771856,-2.391357422,3.710723877,8.248031616,2
10584,1373576771953,-2.986450195,4.104675293,7.904067993,2
10585,1373576772013,-3.206634521,4.351043701,7.677932739,2
10586,1373576772085,-3.379211426,4.427215576,7.378005981,2
10587,1373576772153,-3.418487549,4.484344482,7.122116089,2
10588,1373576772210,-3.3565979,4.399841309,6.836471558,2
10589,1373576772280,-3.220916748,4.467681885,6.750778198,2
10590,1373576772348,-3.173309326,4.474822998,6.805526733,2
10591,1373576772403,-3.188781738,4.476013184,7.011428833,2
10592,1373576772607,-3.167358398,4.548614502,7.204238892,2
10593,1373576772665,-3.199493408,4.605743408,7.673171997,2
10594,1373576772714,-3.1590271,4.686676025,8.125442505,2
10595,1373576772730,-3.129272461,4.603363037,8.425369263,2
10596,1373576772746,-3.144744873,4.523620605,8.765762329,2
10597,1373576772761,-3.135223389,4.44744873,8.925247192,2
10598,1373576772776,-3.163787842,4.346282959,8.89906311,2
10599,1373576772793,-3.173309326,4.245117188,8.835983276,2
10600,1373576772812,-3.128082275,4.221313477,8.719345093,2
10601,1373576772827,-3.089996338,4.215362549,8.47416687,2
10602,1373576772853,-3.010253906,4.243927002,8.144485474,2
10603,1373576772868,-2.994781494,4.329620361,8.104019165,2
10604,1373576772893,-2.948364258,4.368896484,7.949295044,2
10605,1373576772908,-2.924560547,4.422454834,7.763626099,2
10606,1373576772925,-2.911468506,4.427215576,7.456558228,2
10607,1373576772940,-2.955505371,4.433166504,7.435134888,2
10608,1373576772960,-2.935272217,4.478393555,7.449417114,2
10609,1373576772976,-2.961456299,4.465301514,7.523208618,2
10610,1373576772992,-2.997161865,4.473632813,7.548202515,2
10611,1373576773011,-2.875762939,4.572418213,7.535110474,2
10612,1373576773031,-2.834106445,4.556945801,7.505355835,2
10613,1373576773046,-2.677001953,4.541473389,7.30897522,2
10614,1373576773072,-2.709136963,4.539093018,7.314926147,2
10615,1373576773087,-2.656768799,4.530761719,7.211380005,2
10616,1373576773102,-2.675811768,4.52243042,7.211380005,2
10617,1373576773117,-2.625823975,4.635498047,7.214950562,2
10618,1373576773132,-2.628204346,4.679534912,7.207809448,2
10619,1373576773147,-2.673431396,4.573608398,7.325637817,2
10620,1373576773162,-2.765075684,4.589080811,7.398239136,2
10621,1373576773178,-2.882904053,4.572418213,7.447036743,2
10622,1373576773192,-2.930511475,4.505767822,7.576766968,2
10623,1373576773207,-2.96383667,4.416503906,7.750534058,2
10624,1373576773222,-2.912658691,4.323669434,7.767196655,2
10625,1373576773236,-2.940032959,4.233215332,7.810043335,2
10626,1373576773251,-2.878143311,4.198699951,7.913589478,2
10627,1373576773267,-2.848388672,4.215362549,7.817184448,2
10628,1373576773282,-2.723419189,4.287963867,7.810043335,2
10629,1373576773310,-2.715087891,4.381988525,7.682693481,2
10630,1373576773326,-2.718658447,4.4581604,7.61366272,2
10631,1373576773344,-2.674621582,4.622406006,7.699356079,2
10632,1373576773364,-2.587738037,4.649780273,7.660079956,2
10633,1373576773380,-2.575836182,4.697387695,7.660079956,2
10634,1373576773395,-2.668670654,4.670013428,7.661270142,2
10635,1373576773410,-2.666290283,4.700958252,7.745773315,2
10636,1373576773425,-2.743652344,4.698577881,7.644607544,2
10637,1373576773441,-2.898376465,4.734283447,7.68031311,2
10638,1373576773456,-3.081665039,4.789031982,7.902877808,2
10639,1373576773472,-3.123321533,4.891387939,8.230178833,2
10640,1373576773487,-3.195922852,5.009216309,8.482498169,2
10641,1373576773503,-3.291137695,5.149658203,8.808609009,2
10642,1373576773518,-3.335174561,5.184173584,9.128768921,2
10643,1373576773535,-3.394683838,5.182983398,9.204940796,2
10644,1373576773552,-3.450622559,5.148468018,9.240646362,2
10645,1373576773567,-3.62677002,5.061584473,9.170425415,2
10646,1373576773583,-3.761260986,5.062774658,9.101394653,2
10647,1373576773601,-3.913604736,5.019927979,9.091873169,2
10648,1373576773618,-4.014770508,5.038970947,9.068069458,2
10649,1373576773633,-4.106414795,5.052062988,9.116867065,2
10650,1373576773648,-4.064758301,4.950897217,9.101394653,2
10651,1373576773665,-3.892181396,4.842590332,8.90977478,2
10652,1373576773679,-3.588684082,4.62121582,8.575332642,2
10653,1373576773694,-3.314941406,4.462921143,8.12663269,2
10654,1373576773712,-3.079284668,4.38079834,7.585098267,2
10655,1373576773733,-2.861480713,4.326049805,7.086410522,2
10656,1373576773750,-2.743652344,4.372467041,6.602005005,2
10657,1373576773767,-2.766265869,4.434356689,6.338973999,2
10658,1373576773786,-2.897186279,4.517669678,6.254470825,2
10659,1373576773805,-3.056671143,4.587890625,6.318740845,2
10660,1373576773868,-3.381591797,4.64263916,6.618667603,2
10661,1373576773920,-3.422058105,4.690246582,6.882888794,2
10662,1373576773979,-3.423248291,4.79498291,7.247085571,2
